,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,ALL
2006-01-31,17,29,22,25,31,17,12,47,20,14,234
2006-02-28,13,39,20,22,28,19,24,40,28,12,245
2006-03-31,10,29,18,35,42,12,20,40,16,12,234
2006-04-30,18,28,16,15,36,13,21,47,18,10,222
2006-05-31,10,30,22,20,29,15,15,39,29,9,218
2006-06-30,13,31,19,23,32,13,25,45,16,12,229
2006-07-31,16,28,17,37,31,9,13,47,20,10,228
2006-08-31,16,32,17,36,30,7,8,46,26,16,234
2006-09-30,10,21,13,26,33,14,17,40,18,11,203
2006-10-31,9,18,14,32,30,16,13,44,12,11,199
2006-11-30,10,19,14,22,20,5,11,29,12,14,156
2006-12-31,12,20,18,27,29,9,11,40,18,13,197
