,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG-NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY-COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY-THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY-OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,ALL,averageListingPrice,alp_allsf
2008-08-31,24,1040,4,6,473,78,21,922,55,20,5,4,188,221,4,23,2177,27,62,276,1023,1784,0,138,67,419,16,134,46,0,52,8,376,0,111,582,510,410,114,11420,,
2008-09-30,28,1159,4,5,542,79,33,929,66,16,4,8,193,234,4,36,2224,32,52,307,1035,1995,0,143,78,340,18,141,71,2,58,5,403,0,118,579,579,447,139,12106,,
2008-10-31,18,1108,9,4,494,74,46,1123,73,47,2,4,211,217,1,27,2420,40,51,374,1052,2238,0,139,71,351,30,141,45,5,63,11,450,0,102,711,576,473,140,12941,,
2008-11-30,20,1036,11,3,523,100,42,1044,62,12,1,8,180,235,5,30,2078,41,50,391,974,2188,0,141,71,345,24,166,43,1,46,10,380,0,73,602,444,450,118,11948,,
2008-12-31,17,976,10,4,525,63,46,859,62,25,5,8,214,237,3,39,1961,28,12,300,959,2057,0,112,65,292,16,136,68,0,43,10,378,0,86,560,488,395,115,11174,,
2009-01-31,20,1040,8,3,441,92,38,1055,70,30,5,5,172,214,1,42,1932,39,23,308,1021,2351,0,200,72,318,20,154,54,2,46,11,397,0,109,556,545,422,113,11929,,
2009-02-28,17,936,4,2,389,76,60,923,67,24,8,4,178,207,1,35,1846,33,11,268,947,2121,0,164,53,234,25,128,49,1,50,6,366,0,86,481,403,399,120,10722,,
2009-03-31,16,1103,4,4,499,99,57,1258,65,14,17,4,206,200,4,38,2198,36,10,279,1046,2435,0,154,66,254,38,164,43,1,63,9,453,0,98,623,459,479,167,12663,,
2009-04-30,18,1112,6,2,491,89,46,1120,79,7,29,4,222,190,2,42,2050,46,6,300,1047,2169,0,121,40,309,38,166,51,0,53,7,403,0,119,660,395,514,141,12094,,
2009-05-31,17,1052,5,1,441,90,46,965,77,13,8,5,199,210,4,31,1988,35,5,351,992,1990,0,100,53,322,35,157,61,0,48,7,391,0,99,554,402,498,112,11364,,
2009-06-30,15,953,4,6,432,66,39,813,62,28,4,8,195,246,2,44,1862,38,4,289,896,1763,0,77,53,345,22,129,50,1,52,2,305,0,90,537,393,437,97,10359,,
2009-07-31,30,932,7,3,475,58,49,815,61,13,5,4,167,212,3,41,2327,37,4,286,1068,1861,0,125,62,281,25,149,47,0,56,7,375,0,104,675,438,508,110,11420,839967.798809,839967.798809
2009-08-31,19,1085,5,4,453,92,51,1231,78,23,2,12,200,218,1,44,2509,38,7,260,1122,2321,0,107,48,306,22,158,63,2,55,13,371,0,114,714,489,600,128,12965,832936.293889,832936.293889
2009-09-30,18,1045,2,5,415,67,44,1147,62,15,1,11,176,227,4,29,2310,34,11,328,1079,2240,0,134,58,324,25,143,58,2,61,7,402,0,108,688,433,535,108,12356,840157.314425,840157.314425
2009-10-31,14,1091,9,3,430,67,47,932,60,14,4,12,165,193,3,52,2246,26,15,342,1165,1953,0,109,55,324,33,174,75,1,59,5,439,0,114,750,416,486,112,11995,842552.758976,842552.758976
2009-11-30,25,1045,3,6,437,82,54,917,59,13,4,3,161,201,2,37,2151,20,18,370,983,1829,0,96,40,291,31,141,65,4,57,6,382,0,99,684,436,486,112,11350,799485.480018,799485.480018
2009-12-31,13,890,7,7,476,78,48,774,64,21,5,11,168,195,1,43,2166,12,12,276,1029,1660,0,81,55,270,26,120,66,3,60,3,343,0,92,682,374,400,113,10644,795524.36458,795524.36458
2010-01-31,19,1007,4,4,421,72,36,889,52,15,5,6,175,223,3,41,2116,25,29,361,1055,1872,0,124,52,284,32,155,64,5,64,7,360,0,82,702,366,501,142,11370,799755.408562,799755.408562
2010-02-28,9,966,1,8,374,88,26,778,53,18,8,9,139,176,1,30,1693,22,34,339,944,1863,0,59,42,267,22,135,51,3,51,9,367,0,102,588,363,478,124,10240,817236.078839,817236.078839
2010-03-31,19,995,3,6,404,67,50,981,47,16,8,13,94,202,0,16,1915,45,14,371,1040,1900,1,97,62,286,21,147,68,2,56,5,437,0,102,609,352,575,105,11131,824988.104176,824988.104176
